sample_barcode	sample_id
TARGET-21-PASFJJ-41A-01R	SRR1798955
TARGET-21-PATKBK-41A-02R	SRR1798956
TARGET-21-PARNAW-09A-01R	SRR1798957
TARGET-21-PASSLT-41A-02R	SRR1798958
TARGET-21-PATKWH-41A-02R	SRR1798959
TARGET-21-PATISD-41A-01R	SRR1798960
TARGET-21-PATAIJ-42A-01R	SRR1798961
TARGET-21-PARZIA-41A-02R	SRR1798962
TARGET-21-PASDKZ-03A-02R	SRR1798963
TARGET-21-PAMYMA-41A-01R	SRR1798964
TARGET-21-PASNKZ-41A-02R	SRR1798965
TARGET-21-PAMXZY-09A-03R	SRR1798966
TARGET-21-PARNAW-41A-01R	SRR1798967
TARGET-21-PARBTV-09A-03R	SRR1798968
TARGET-21-PASSLT-09A-01R	SRR1798969
TARGET-21-PARBTV-41A-02R	SRR1798970
TARGET-21-PASLZE-41A-02R	SRR1798971
TARGET-21-PARHRS-09A-02R	SRR1798972
TARGET-21-PAMYMA-09A-02R	SRR1798973
TARGET-21-PASTZK-09A-01R	SRR1798974
TARGET-21-PARLSL-09A-02R	SRR1798975
TARGET-21-PATKKJ-09A-01R	SRR1798976
TARGET-21-PASNKZ-09A-01R	SRR1798977
TARGET-21-PARNAW-09A-01R	SRR1798978
TARGET-21-PATKWH-41A-02R	SRR1798979
TARGET-21-PASDXR-41A-03R	SRR1798980
TARGET-21-PASFJJ-09A-01R	SRR1798981
TARGET-21-PARHRS-09A-02R	SRR1798982
TARGET-21-PASYEJ-41A-03R	SRR1798983
TARGET-21-PATHIU-09A-01R	SRR1798984
TARGET-21-PASFHK-41A-01R	SRR1798985
TARGET-21-PATKKJ-09A-01R	SRR1798986
TARGET-21-PARBTV-41A-02R	SRR1798987
TARGET-21-PASIGA-09A-01R	SRR1798988
TARGET-21-PANVPB-09A-02R	SRR1798989
TARGET-21-PASLZE-09A-01R	SRR1798990
TARGET-21-PARXYR-41A-02R	SRR1798991
TARGET-21-PASVJS-41A-02R	SRR1798992
TARGET-21-PASIGA-41A-01R	SRR1798993
TARGET-21-PANZLR-41A-02R	SRR1798994
TARGET-21-PATJMY-41A-01R	SRR1798995
TARGET-21-PASLZE-41A-02R	SRR1798996
TARGET-21-PASSLT-09A-01R	SRR1798997
TARGET-21-PASYWA-41A-01R	SRR1798998
TARGET-21-PASIGA-41A-01R	SRR1798999
TARGET-21-PATISD-09A-01R	SRR1799000
TARGET-21-PASDXR-09A-02R	SRR1799001
TARGET-21-PARZIA-09A-01R	SRR1799002
TARGET-21-PATAIJ-09A-01R	SRR1799003
TARGET-21-PASYEJ-41A-03R	SRR1799004
TARGET-21-PASDXR-41A-03R	SRR1799005
TARGET-21-PARLSL-41A-02R	SRR1799006
TARGET-21-PATKKJ-41A-01R	SRR1799007
TARGET-21-PASFHK-09A-01R	SRR1799008
TARGET-21-PASDKZ-41A-03R	SRR1799009
TARGET-21-PARLSL-09A-02R	SRR1799010
TARGET-21-PASYEJ-09A-01R	SRR1799011
TARGET-21-PANZLR-41A-02R	SRR1799012
TARGET-21-PASTZK-41A-03R	SRR1799013
TARGET-21-PATJMY-09A-01R	SRR1799014
TARGET-21-PARNAW-41A-01R	SRR1799015
TARGET-21-PATKBK-03A-01R	SRR1799016
TARGET-21-PARLSL-41A-02R	SRR1799017
TARGET-21-PARBTV-09A-03R	SRR1799018
TARGET-21-PARXYR-03A-03R	SRR1799019
TARGET-21-PANZLR-09A-03R	SRR1799020
TARGET-21-PASYWA-09A-01R	SRR1799021
TARGET-21-PASDKZ-03A-02R	SRR1799022
TARGET-21-PASVJS-09A-01R	SRR1799023
TARGET-21-PASFHK-09A-01R	SRR1799024
TARGET-21-PASIGA-09A-01R	SRR1799025
TARGET-21-PASNKZ-41A-02R	SRR1799026
TARGET-21-PAMYMA-41A-01R	SRR1799027
TARGET-21-PATKWH-09A-01R	SRR1799028
TARGET-21-PARZIA-09A-01R	SRR1799029
TARGET-21-PARXYR-41A-02R	SRR1799030
TARGET-21-PASFLG-41A-03R	SRR1799031
TARGET-21-PATISD-41A-01R	SRR1799032
TARGET-52-PASABD-01A-01R	SRR1799040
TARGET-52-PAUEKW-01A-01R	SRR1799044
TARGET-52-PASCDH-01A-01R	SRR1799048
TARGET-52-PATXEE-01A-01R	SRR1799051
TARGET-52-PATFZZ-01A-01R	SRR1799058
TARGET-52-PASZYE-01A-01R	SRR1799059
TARGET-52-PAUDPV-01A-01R	SRR1799061
TARGET-52-PARIRN-01A-01R	SRR1799062
TARGET-52-PATXKA-01A-01R	SRR1799066
TARGET-52-PAJNFP-01A-01R	SRR1799068
TARGET-52-PAJNFZ-01A-01R	SRR1799070
TARGET-52-PASXNA-01A-01R	SRR1799074
TARGET-52-PAJNER-01A-01R	SRR1799076
TARGET-52-PAUCGJ-01A-01R	SRR1799081
TARGET-20-PASFLM-09A-01R	SRR1810580
TARGET-20-PASVYA-09A-01R	SRR1810590
TARGET-20-PAPXWI-09A-03R	SRR1810593
TARGET-20-PASYJI-09A-03R	SRR1810631
TARGET-20-PATJHJ-09A-01R	SRR1810639
TARGET-20-PAEAKL-09A-03R	SRR1810645
TARGET-50-PAEBXA-01A-01R	SRR1810803
TARGET-50-PAKECR-01A-01R	SRR1810804
TARGET-51-PAEALX-01A-01R	SRR1712453
TARGET-51-PAJLIV-01A-01R	SRR1712454
TARGET-51-PAJLWU-01A-01R	SRR1712455
TARGET-51-PAJMFS-01A-01R	SRR1712456
TARGET-51-PAJMNM-01A-01R	SRR1712457
TARGET-51-PAJNCV-01A-01R	SRR1712458
TARGET-51-PAJPFB-01A-01R	SRR1712459
TARGET-51-PAKWMM-01A-01R	SRR1712460
TARGET-51-PALEIR-01A-01R	SRR1712461
TARGET-51-PALFEF-01A-01R	SRR1712462
TARGET-51-PALFYG-01A-01R	SRR1712463
TARGET-51-PALKEI-01A-01R	SRR1712464
TARGET-51-PALLXV-01A-01R	SRR1712465
TARGET-40-PALKDP-01A-01R	SRR1811024
TARGET-40-PALFYN-01A-01R	SRR1811025
TARGET-40-PAKFVX-01A-01R	SRR1811026
TARGET-40-PALKGN-01A-01R	SRR1811027
TARGET-40-PALHRL-01A-01R	SRR1811028
TARGET-40-PALKGN-01A-01R	SRR1811029
TARGET-40-PAKFVX-01A-01R	SRR1811030
TARGET-40-PALFYN-01A-01R	SRR1811031
TARGET-40-PALKDP-01A-01R	SRR1811032
TARGET-40-PANSEN-01A-01R	SRR1811033
TARGET-40-PANPUM-01A-01R	SRR1811034
TARGET-40-PAMYYJ-01A-01R	SRR1811035
TARGET-40-PAMJXS-01A-01R	SRR1811036
TARGET-40-PAMHYN-01A-01R	SRR1811037
TARGET-40-PANSEN-01A-01R	SRR1811038
TARGET-40-PANPUM-01A-01R	SRR1811039
TARGET-40-PAMYYJ-01A-01R	SRR1811040
TARGET-40-PAMJXS-01A-01R	SRR1811041
TARGET-40-PAMHYN-01A-01R	SRR1811042
TARGET-40-PALZGU-01A-01R	SRR1811043
TARGET-40-PALZGU-01A-01R	SRR1811044
TARGET-40-PALHRL-01A-01R	SRR1811045
TARGET-40-PALFYN-01A-01R	SRR1811046
TARGET-40-PASSLM-01A-01R	SRR1811047
TARGET-40-PASFCV-01A-01R	SRR1811048
TARGET-40-PASEBY-01A-01R	SRR1811049
TARGET-40-PASSLM-01A-01R	SRR1811050
TARGET-40-PASFCV-01A-01R	SRR1811051
TARGET-40-PASEBY-01A-01R	SRR1811052
TARGET-40-PAPNVD-01A-01R	SRR1811053
TARGET-40-PASEFS-01A-01R	SRR1811054
TARGET-40-PASEFS-01A-01R	SRR1811055
TARGET-40-PASKZZ-01A-01R	SRR1811056
TARGET-40-PASKZZ-01A-01R	SRR1811057
TARGET-40-PAPXGT-01A-01R	SRR1811058
TARGET-40-PAPXGT-01A-01R	SRR1811059
TARGET-40-PARJXU-01A-01R	SRR1811060
TARGET-40-PARGTM-01A-01R	SRR1811061
TARGET-40-PARFTG-01A-01R	SRR1811062
TARGET-40-PARDAX-01A-01R	SRR1811063
TARGET-40-PAMLKS-01A-01R	SRR1811064
TARGET-40-PAMEKS-01A-01R	SRR1811065
TARGET-40-PAKXLD-01A-01R	SRR1811066
TARGET-40-PASYUK-01A-01R	SRR1811067
TARGET-40-PAMRHD-01A-01R	SRR1811068
TARGET-40-PATJVI-01A-01R	SRR1811069
TARGET-40-PASRNE-01A-01R	SRR1811070
TARGET-40-PAMHLF-01A-01R	SRR1811071
TARGET-40-PANVJJ-01A-01R	SRR1811072
TARGET-40-PAMHLF-01A-01R	SRR1811073
TARGET-40-PASYUK-01A-01R	SRR1811074
TARGET-40-PAMRHD-01A-01R	SRR1811075
TARGET-40-PATJVI-01A-01R	SRR1811076
TARGET-40-PASRNE-01A-01R	SRR1811077
TARGET-40-PAMHLF-01A-01R	SRR1811078
TARGET-40-PANVJJ-01A-01R	SRR1811079
TARGET-40-PAMHLF-01A-01R	SRR1811080
TARGET-40-PAMLKS-01A-01R	SRR1811081
TARGET-40-PARDAX-01A-01R	SRR1811082
TARGET-40-PARGTM-01A-01R	SRR1811083
TARGET-40-PARFTG-01A-01R	SRR1811084
TARGET-40-PARKAF-01A-01R	SRR1811085
TARGET-40-PARJXU-01A-01R	SRR1811086
TARGET-40-PANMIG-01A-01R	SRR1811087
TARGET-40-PANMIG-01A-01R	SRR1811088
TARGET-40-PATAWV-01A-01R	SRR1811089
TARGET-40-PATAWV-01A-01R	SRR1811090
TARGET-40-PAPKWD-01A-01R	SRR1811091
TARGET-40-PANZHX-01A-01R	SRR1811092
TARGET-40-PARBGW-01A-01R	SRR1811093
TARGET-40-PANZZJ-01A-01R	SRR1811094
TARGET-40-PAKZZK-01A-01R	SRR1811095
TARGET-40-PANGRW-01A-01R	SRR1811096
TARGET-40-PANMIG-01A-01R	SRR1811097
TARGET-40-PANMIG-01A-01R	SRR1811098
TARGET-40-PALECC-01A-01R	SRR1811099
TARGET-40-PASUUH-01A-01R	SRR1811100
TARGET-40-PATEEM-01A-01R	SRR1811101
TARGET-40-PAMTCM-01A-01R	SRR1811102
TARGET-40-PAPWWC-01A-01R	SRR1811103
TARGET-40-PAKZZK-01A-01R	SRR1811104
TARGET-40-PANZZJ-01A-01R	SRR1811105
TARGET-40-PARBGW-01A-01R	SRR1811106
TARGET-40-PANZHX-01A-01R	SRR1811107
TARGET-40-PAPKWD-01A-01R	SRR1811108
TARGET-40-PALECC-01A-01R	SRR1811109
TARGET-40-PASUUH-01A-01R	SRR1811110
TARGET-40-PAMTCM-01A-01R	SRR1811111
TARGET-40-PAPWWC-01A-01R	SRR1811112
TARGET-40-PANGRW-01A-01R	SRR1811113
TARGET-40-PAMTCM-01A-01R	SRR1811114
TARGET-40-PASUUH-01A-01R	SRR1811115
TARGET-40-PAPWWC-01A-01R	SRR1811116
TARGET-40-PALECC-01A-01R	SRR1811117
TARGET-40-PATEEM-01A-01R	SRR1811118
TARGET-40-PATUXZ-01A-01R	SRR1811119
TARGET-40-PATPBS-01A-01R	SRR1811120
TARGET-40-PATMXR-01A-01R	SRR1811121
TARGET-40-PATMPU-01A-01R	SRR1811122
TARGET-40-PASNZV-01A-01R	SRR1811123
