sample	caller
BS_9ZDR2H7D	cnvkit
BS_9ZDR2H7D	manta
BS_A11S37GE	cnvkit
BS_A11S37GE	manta
BS_A1DV9T7G	cnvkit
BS_A1DV9T7G	freec
BS_A2Z4DDQS	cnvkit
BS_A3K94FCY	cnvkit
BS_A3K94FCY	manta
BS_A47Q27XF	freec
BS_A47Q27XF	manta
BS_A4T3HE85	freec
BS_A4T3HE85	manta
BS_A527Y2QF	cnvkit
BS_A527Y2QF	manta
BS_A5AQFAFA	cnvkit
BS_A5AQFAFA	manta
BS_A94A7EJ4	freec
BS_A9S5HT6P	cnvkit
BS_A9S5HT6P	freec
BS_ABZC437A	cnvkit
BS_ABZC437A	freec
BS_ABZC437A	manta
BS_ACCE0MEA	cnvkit
BS_ACCE0MEA	manta
BS_ACDQRWMY	cnvkit
BS_ACDQRWMY	manta
BS_ACE6QKVF	freec
BS_ACMAGPPE	freec
BS_ACMAGPPE	manta
BS_AE718N55	cnvkit
BS_AE718N55	manta
BS_AF5D41PD	cnvkit
BS_AFAHY6HP	cnvkit
BS_AFAHY6HP	manta
BS_AFBPM6CN	cnvkit
BS_AGD2ATY1	cnvkit
BS_AHT9PKVE	cnvkit
BS_AHT9PKVE	freec
BS_AJMN6H13	freec
BS_AJMN6H13	manta
BS_AK9BV52G	cnvkit
BS_AKFZ2WVR	freec
BS_AKFZ2WVR	manta
BS_AM2TZPNS	cnvkit
BS_AM2TZPNS	manta
BS_APY3G22J	cnvkit
BS_ASXY97FK	freec
BS_AVS4DSZW	cnvkit
BS_AWDQEKK1	cnvkit
BS_AWW96J4B	freec
BS_AWW96J4B	manta
BS_AYPBAHJ6	freec
BS_AZ6KVKC4	cnvkit
BS_B2RYV4GG	cnvkit
BS_B2RYV4GG	manta
BS_B3RH9V17	freec
BS_B4GBBM0J	cnvkit
BS_B4GBBM0J	freec
BS_B4GBBM0J	manta
BS_B5MDTA3Q	cnvkit
BS_B6E0477K	cnvkit
BS_B6E0477K	manta
BS_B7NS4GEE	freec
BS_B7NS4GEE	manta
BS_B80Z459E	cnvkit
BS_B80Z459E	freec
BS_B91XGSA5	freec
BS_B95NMCYN	cnvkit
BS_B95NMCYN	manta
BS_BAVWP5JG	freec
BS_BBK329W5	cnvkit
BS_BBK329W5	manta
BS_BBMTN7JM	freec
BS_BBMTN7JM	manta
BS_BF83XX7P	cnvkit
BS_BFSZW2CB	freec
BS_BFSZW2CB	manta
BS_BHKAK446	cnvkit
BS_BHKAK446	manta
BS_BJCTR4C8	cnvkit
BS_BM95DGCQ	freec
BS_BNPXDDS7	freec
BS_BNPXDDS7	manta
BS_BPXHZ3Y0	cnvkit
BS_BQ7KF7H1	freec
BS_BQ7KF7H1	manta
BS_BR1X3R68	freec
BS_BR40BA47	freec
BS_BR40BA47	manta
BS_BTRGQHM4	cnvkit
BS_BVAVPKKN	cnvkit
BS_BVBGZJ1C	freec
BS_BVBGZJ1C	manta
